"Window","Preferences","Alt+P","C/C++ Editor","org.eclipse.ui.window.preferences"
"Edit","Select Enclosing C/C++ Element","Alt+Shift+Up","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.select.enclosing"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows","org.eclipse.ui.views.showView"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering","org.eclipse.debug.ui.command.nextpage"
"Source","Show Tooltip Description","F2","Autoconf Editor","org.eclipse.cdt.autotools.ui.editors.text.show.tooltip"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows","org.eclipse.debug.ui.commands.SkipAllBreakpoints"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskRead"
"Source","Open Declaration","F3","C/C++ Editor","org.eclipse.cdt.ui.edit.opendecl"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"Window","Find Actions","Ctrl+3","In Windows","org.eclipse.ui.window.quickAccess"
"Edit","Open Selection","F3","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.open.file.from.source"
"LiClipse Actions","Rename","Alt+Shift+R","LiClipse editor","org.brainwy.liclipsetext.editor.handlers.Rename"
"Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor","org.eclipse.cdt.ui.edit.open.quick.type.hierarchy"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Source","Surround With Quick Menu","Alt+Shift+Z","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.surround.with.quickMenu"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.add.block.comment"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++","org.eclipse.cdt.debug.ui.command.reverseResume"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows","org.eclipse.ui.views.showView"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View","org.eclipse.egit.ui.RepositoriesViewCopyPath"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"Refactor - C++","Extract Local Variable - Refactoring ","Alt+Shift+L","C/C++ Editor","org.eclipse.cdt.ui.refactor.extract.local.variable"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor","org.eclipse.mylyn.task.ui.editor.QuickOutline"
"UML2 Sequence Diagram Viewer Commands","Scroll left","Alt+Shift+Left","UML2 Sequence Diagram Viewer","org.eclipse.linuxtools.tmf.ui.views.uml2sd.handlers.MoveSDLeft"
"Text Editing","Text End","Ctrl+End","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Edit","Restore Last C/C++ Selection","Alt+Shift+Down","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.select.last"
"Window","Next View","Ctrl+F7","In Windows","org.eclipse.ui.window.nextView"
"Run/Debug","Run","F11","In Windows","org.eclipse.debug.ui.commands.RunLast"
"Quick Search","Quick Search","Ctrl+Alt+Shift+L","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows","org.eclipse.ui.window.maximizePart"
"Run/Debug","Terminate","Ctrl+F2","Debugging","org.eclipse.debug.ui.commands.Terminate"
"Edit","Delete","Delete","In Windows","org.eclipse.ui.edit.delete"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows","org.eclipse.mylyn.tasks.ui.command.deactivateAllTasks"
"Run/Debug","Step Into","F5","Debugging","org.eclipse.debug.ui.commands.StepInto"
"LiClipse Actions","Toggle Mark Occurrences","Alt+Shift+O","LiClipse editor","org.brainwy.liclipsetext.editor.handlers.ToggleMarkOccurrences"
"Tracing","Zoom in (selection)","=","In Time-Based View","org.eclipse.tracecompass.tmf.ui.command.zoomin.selection"
"Source","Open Element","Ctrl+Shift+T","C/C++ Editor","org.eclipse.cdt.ui.navigate.opentype"
"Project","Build Clean","Ctrl+Shift+C","In Windows","org.eclipse.ui.project.cleanAction"
"Text Editing","Text Start","Ctrl+Home","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"File","Close All","Ctrl+Shift+F4","In Windows","org.eclipse.ui.file.closeAll"
"Navigate","Next Tab","Ctrl+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows","org.eclipse.mylyn.context.ui.commands.open.context.dialog"
"Text Editing","Delete Line","Ctrl+D","Editing Text","org.eclipse.ui.edit.text.delete.line"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor","org.eclipse.cdt.ui.refactor.extract.constant"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.quick_outline"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.goto.matching.bracket"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"Editor Commands","Prepare Sources","Ctrl+Shift+R, P","Specfile Editor Context","rpmEditor.prepareSources.command"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text","org.eclipse.ui.edit.text.scroll.lineUp"
"Source","Add Include","Ctrl+Shift+N","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.add.include"
"Source","Copy Qualified Name","Ctrl+Alt+Shift+C","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.copy.qualified.name"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"Tracing","Zoom out (mouse position)","S","In Time-Based View","org.eclipse.tracecompass.tmf.ui.command.zoomout"
"Source","Toggle Comment","Ctrl+Shift+C","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.toggle.comment"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In C/C++ Views","org.eclipse.cdt.ui.navigate.open.type.in.hierarchy"
"Tracing","Right","D","In Time-Based View","org.eclipse.tracecompass.tmf.ui.command.right"
"Text Editing","Select Line End","Shift+End","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Git","Rename Branch...","F2","In Git Repositories View","org.eclipse.egit.ui.team.RenameBranch"
"UML2 Sequence Diagram Viewer Commands","Show node end","Alt+Shift+End","UML2 Sequence Diagram Viewer","org.eclipse.linuxtools.tmf.ui.views.uml2sd.handlers.ShowNodeEnd"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Invoke Autotools","Show Outline","Ctrl+O","Autoconf Editor","org.eclipse.cdt.autotools.ui.command.showOutline"
"Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor","org.eclipse.cdt.ui.edit.open.quick.macro.explorer"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.remove.block.comment"
"Source","Go to Matching Bracket","Ctrl+Shift+P","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.goto.matching.bracket"
"Edit","Select Next C/C++ Element","Alt+Shift+Right","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.select.next"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views","org.eclipse.cdt.ui.edit.open.include.browser"
"Navigate","Go to Line","Ctrl+L","Editing Text","org.eclipse.ui.edit.text.goto.line"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Comparing in an Editor","org.eclipse.linuxtools.changelog.core.preparechangelog2"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows","org.eclipse.mylyn.tasks.ui.command.openRemoteTask"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View","org.eclipse.mylyn.tasks.ui.command.new.subtask"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows","org.eclipse.ui.window.previousEditor"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.previousSibling"
"File","Save","Ctrl+S","In Windows","org.eclipse.ui.file.save"
"Source","Open Declaration","F3","In C/C++ Views","org.eclipse.cdt.ui.edit.opendecl"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"Source","Toggle Comment","Ctrl+7","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.toggle.comment"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"Source","Open Declaration","F3","Assembly Editor","org.eclipse.cdt.ui.edit.opendecl"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views","org.eclipse.cdt.ui.edit.open.call.hierarchy"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor","org.eclipse.cdt.ui.edit.open.include.browser"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows","org.eclipse.mylyn.context.ui.commands.interest.increment"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnter"
"Edit","Select Previous C/C++ Element","Alt+Shift+Left","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.select.previous"
"Navigate","Activate Task","Ctrl+F9","In Windows","org.eclipse.mylyn.tasks.ui.command.activateTask"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskRead"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Comparing in an Editor","org.eclipse.linuxtools.changelog.core.actions.KeyActionCommand"
"File","New menu","Alt+Shift+N","In Windows","org.eclipse.ui.file.newQuickMenu"
"Window","Previous Editor","Ctrl+Shift+Tab","In Windows","org.eclipse.ui.window.previousEditor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor","org.eclipse.cdt.ui.edit.open.call.hierarchy"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows","org.eclipse.ui.navigate.expandAll"
"Navigate","Last Edit Location","Ctrl+Q","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Navigate","Show In...","Alt+Shift+W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"Project","Build Project","F10","In Windows","org.eclipse.ui.project.buildProject"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows","org.eclipse.ui.views.showView"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"File","Refresh","F5","In Windows","org.eclipse.ui.file.refresh"
"Text Editing","Line End","End","Editing Text","org.eclipse.ui.edit.text.goto.lineEnd"
"Edit","Select All","Ctrl+A","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor","org.eclipse.ui.edit.text.open.hyperlink"
"Window","Quick Switch Editor","Ctrl+E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"File","Close All","Ctrl+Shift+W","In Windows","org.eclipse.ui.file.closeAll"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.gotoMatchingTag"
"File","Properties","Alt+Enter","In Windows","org.eclipse.ui.file.properties"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text","org.eclipse.ui.edit.text.lowerCase"
"Source","Declaration","Ctrl+G","C/C++ Editor","org.eclipse.cdt.ui.search.finddecl"
"Source","Show outline","Ctrl+O","C/C++ Editor","org.eclipse.cdt.ui.edit.open.outline"
"Text Editing","Previous Word","Ctrl+Left","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.toggle.source.header"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Task Repositories","Show Tooltip Description","F4","In Tasks View","org.eclipse.mylyn.tasks.ui.command.showToolTip"
"Source","Add Block Comment","Ctrl+Shift+/","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.add.block.comment"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++","org.eclipse.cdt.debug.ui.command.reverseStepOver"
"Run/Debug","Resume","F8","Debugging","org.eclipse.debug.ui.commands.Resume"
"Search","Open Search Dialog","Ctrl+H","In Windows","org.eclipse.search.ui.openSearchDialog"
"Navigate","Previous Tab","Ctrl+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskComplete"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.last"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows","org.eclipse.ui.views.showView"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++","org.eclipse.cdt.debug.ui.command.uncall"
"Refactor - C++","Toggle Function - Refactoring ","Alt+Shift+T","C/C++ Editor","org.eclipse.cdt.ui.refactor.toggle.function"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.enclosing"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.maximizePart"
"Edit","Copy","Ctrl+C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Navigate","Next Page","Alt+F7","In Windows","org.eclipse.ui.part.nextPage"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows","org.eclipse.ui.navigate.openResource"
"Text Editing","Zoom In","Ctrl+=","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Edit","Paste","Shift+Insert","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Source","Back","Alt+Left","In Macro Expansion Hover","org.eclipse.cdt.ui.hover.backwardMacroExpansion"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskUnread"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.next"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus","org.eclipse.tm.terminal.copy"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"LiClipse Actions","Toggle Comment","Ctrl+/","LiClipse editor","org.brainwy.liclipsetext.editor.handlers.ToggleComment"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"Edit","Cut","Shift+Delete","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","C/C++ Editor","org.eclipse.cdt.ui.edit.text.rename.element"
"Navigate","Forward History","Alt+Right","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Navigate","Previous Page","Alt+Shift+F7","In Windows","org.eclipse.ui.part.previousPage"
"Navigate","Open Task","Ctrl+F12","In Windows","org.eclipse.mylyn.tasks.ui.command.openTask"
"Edit","Find Next","Ctrl+K","Editing Text","org.eclipse.ui.edit.findNext"
"Window","Activate Editor","F12","In Windows","org.eclipse.ui.window.activateEditor"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.format.document"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View","org.eclipse.debug.ui.commands.addMemoryMonitor"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Tracing","Zoom out (selection)","-","In Time-Based View","org.eclipse.tracecompass.tmf.ui.command.zoomout.selection"
"Editor Commands","Toggle Comment","Ctrl+Shift+C","Specfile Editor Context","rpmEditor.toggleComment.command"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Tracing","Toggle Bookmark...","Ctrl+D","In Time Graph","org.eclipse.tracecompass.tmf.ui.timegraph.bookmark"
"Edit","Cut","Ctrl+X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.nextSibling"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+Shift+T","In Windows","org.eclipse.tm.terminal.view.ui.command.launchToolbar"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows","org.eclipse.ui.window.previousPerspective"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering","org.eclipse.debug.ui.command.prevpage"
"Source","Remove Block Comment","Ctrl+Shift+\","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.remove.block.comment"
